연번,관광지명,관광지 분야,관광지 구분,소재지도로명주소,소재지지번주소,위도,경도,면적,공공편익시설정보,숙박시설정보,지정일자,수용인원수,주차가능수,관광지소개,관리기관전화번호,관리기관명,데이터기준일자
314,박물관은 살아있다,기타,관광지,제주특별자치도 서귀포시 중문관광로 42,제주특별자치도 서귀포시 색달동 2629,33.248795,126.419885,,,,,,,박물관은 살아있다'는 국내 최초로 착시미술을 도입하여 미디어· 오브제 아트 등 다양한 영역을 접목시켜 탄생한 신개념 놀이*체험 전시관이다. 관객의 자연스러운 리액션을 이끌어 내는 유쾌한 작품들로 국내와 해외에서 많은 사랑을 받고 있다. 트릭아트· 디지털아트· 오브제아트· 스컬쳐아트· 프로방스아트 등 다섯 개의 착시체험 테마로 이루어져 있다. 테마 속에 직접 들어가 이야기의 주인공이 되고· 작품 속에서 재미있는 포즈로사진을 찍을 수 있다.,064-710-2114,제주특별자치도청,2022-12-01
315,박성내,문화,관광지,제주특별자치도 제주시 기자길 5,제주특별자치도 제주시 아라이동 1370-6,33.484948,126.54423,526,,가족호텔+펜션,,200,,박성내'는 1948년 12월 21일· 조천면 관내 청년 100여 명이 집단학살 당한 곳이다. 진압군은 주민을 모아놓고 “조금이라도 잘못한 사람은 자수하라. 자수하면 살려주겠지만 나중에 발각되면 총살을 면하지 못한다. 이미 ‘관련자 명단’을 가지고 있다.”고 협박했다. 자수를 권한다는 것이 ‘관련자 명단’이 없다는 것을 반증하지만· 겁에 질린 많은 주민이 자수했다. 주로 해방 직후 건국준비위원회나 인민위원회에서의 활동했다든가· 무장대가 마을을 장악하고 있을 때 그들의 요구에 따라 시위에 참여하거나 식량 등을 준 사실을 자수했다.,064-712-6988,제주특별자치도청,2022-12-01
316,박수기정,자연,관광지,,제주특별자치도 서귀포시 안덕면 감산리 1008,33.236637,126.359288,,,,,,,대평리에 위치한 박수기정은 중문의 주상절리나 애월 해안도로의 해안 절벽과 같이 멋진 풍경을 지닌다. 샘물을 뜻하는 '박수'와 절벽을 뜻하는 '기정'이 합쳐져 '마실 수 있는 깨끗한 샘물이 솟아나는 절벽'이라는 의미를 가진다. 박수기정의 윗길로 제주특별자치도 올레 9코스가 시작된다. 소나무가 무성한 산길을 오르면 소녀 등대가 서 있는 대평포구가 한눈에 보인다. 박수기정 위쪽 평야지대에서는 밭농사가 이뤄진다.,064-710-2114,제주특별자치도청,2022-12-01
317,발이오름,오름,관광지,,,33.398812,126.386435,,,,,,,박수기정의 절벽을 한눈에 보려면 대평포구 근처에서 보는 것이 좋다. 수직으로 꺾인 벼랑의 높이는 약 100m에 이른다. 인근에 박수기정과 바다를 함께 볼 수 있는 카페가 여럿 있어· 해질 무렵의 박수기정을 바라보면 특히 좋다.,064-710-2114,제주특별자치도청,2022-12-01
318,발자국화석공원,문화,관광지,제주특별자치도 서귀포시 대정읍 형제해안로 192,제주특별자치도 서귀포시 대정읍 상모리 626-1,33.217275,126.292979,124700,,펜션+게스트하우스,2005-09-08,5000,,2005년 9월 8일 천연기념물 제464호로 지정된 발자국화석공원은 서귀포시 대정읍 남동쪽에 위치한 상모리 해안에서 안덕면 사계리 해안에 걸쳐 분포한다. 사람· 사슴· 새· 코끼리 등 발자국 화석과 식물 화석이 중기 구석기시대에 생성되었다고 추정된다. 2004년 사계-송악 해안도로 일대에서 발견되었다. 아시아 지역에서 유일하다고 알려지는 이곳의 인류 발자국 화석은 구분이 뚜렷해 학술적 가치가 크다. 왼쪽으로 산방산· 오른쪽으로 형제섬이 보이는 제주올레 10코스 중간지점에 위치한다.,064-710-6804,제주특별자치도 서귀포시,2022-12-01
319,밧돌오름,오름,관광지,,,33.460294,126.76204,,,,,,,밧돌오름은 안돌오름과 연결되어 있다. 웃송당에서 오름 앞까지 농로가 개설되어 쉽게 오를 수 있다. 안돌오름에 비해 바깥쪽으로 나앉아 있어서 밧돌오름(外石岳)이라 부르고 있다. 동쪽· 서쪽 봉우리에 바윗돌이 박혀 있고· 양쪽 봉우리 사이 말굽형 화구가 있다. 화구 상단에 '돌오름물'이라고 부르는 샘이 있다.,064-710-2114,제주특별자치도청,2022-12-01
320,방림원,기타,관광지,제주특별자치도 제주시 한경면 용금로 864,,33.337071,126.268779,,,,,,,방림원에서는 야생화를 계절과 관계 없이 한눈에 볼 수 있다. 한 여인이 전세계를 돌아다니며 30년간 수집한 야생화가 전시된 국내 최초 세계 야생화 전시관이자 테마그린파크다. 실내전시관· 야외정원· 동굴· 형제폭포· 방림굴 등 다양한 볼거리가 있으며 약 3천여종의 각양각색의 살아있는 야생화들의 소박한 매력을 느낄 수 있다.,064-710-2114,제주특별자치도청,2022-12-01
321,방선문,자연,관광지,,,33.471552,126.502223,,,,,,,한천계곡 한 가운데 큰 바위를 두고 '신선이 방문하는 문' 이라며 방선문(訪仙門) 이라 불렀다. 신선이 사는 곳의 입구이니 그 경관의 빼어남은 두말 할 나위 없다. 영주 12경 중 하나인 영구춘화(瀛邱春花)의 현장이 바로 이곳이다. 제주참꽃이라 불리는 철쭉꽃이 절벽을 붉게 물들이고 또한 물에 비쳐 계곡 전체가 붉은 꽃으로 덮이면 감탄이 절로 나온다. 신선세계와 인간세계의 경계선인 셈이다.,064-710-2114,제주특별자치도청,2022-12-01
322,방선문 축제,문화,관광지,,제주특별자치도 제주시 오라이동 391,33.454261,126.516918,24606,공중화장실,호텔+펜션,,5349,,유서 깊은 명승지의 의미를 기리고자 매해 봄 방선문 축제가 열린다. 프로그램 구성부터 문화와 예술에 중점을 뒀다는 점에서 특별하다. 전통제례식· 문화백일장· 예술단공연· 전통문화체험 등 주요 행사와 방선문 장원급제· 신선님 전상서· 신선과 함께 마시는 차· 신선밥상 등 부대 행사가 준비됐다.,064-728-4802,제주특별자치도청,2022-12-01
323,방일리공원,기타,관광지,,,33.483098,126.477231,,,,,,,쾌적한 도시환경을 형성하고 건전한 문화생활 공간의 확보와 공공의 복리 증진을 위하여 조성한 공원입니다. 제주의 대학생이 일본군 '위안부'문제 해결의 새 새대로서 이 문제가 해결되고 전쟁 없는 평화가 오는 그 날까지 역사를 기억하고 함께 행동하기 위해 평화 시민의 도움을 받아 평화비와 소녀상을 세웠습니다.,064-710-2114,제주특별자치도청,2022-12-01
324,방주교회,기타,관광지,제주특별자치도 서귀포시 안덕면 산록남로762번길 113,제주특별자치도 서귀포시 상천리 427,33.305073,126.387664,,,,,,,세계적인 건축가 이타미준이 노아의 방주를 모티브로 설계했다. 인공 수조를 조성해 건물이 물 위에 떠있는 듯한 느낌을 준다. 잔디밭과 하늘과 잘 어울려 건축물과 자연의 조화로움을 뽐낸다. 사진 촬영 명소로 알려져 많은 사람들이 찾지만· 종교적인 장소이니 주의가 필요하다.,064-710-2114,제주특별자치도청,2022-12-01
325,배령연대,문화,관광지,,제주특별자치도 제주시 한림읍 금능리 1649,33.387966,126.223758,52.5,,펜션+민박,1996-07-18,30,,1996년 배령연대의 평면은 기존 방형의 평면과 다르게 원형의 평면을 하고 있었다. 처음 보면 연대가 허물어진 것처럼 보이는데· 방형의 지대석이 보이지 않고· 연대를 축조한 돌이 대체로 작은 것으로 보아 원형에 가까운 것으로 생각된다.,064-728-2731,제주특별자치도청,2022-12-01
326,백록담,자연,관광지,,제주특별자치도 서귀포시 토평동 산15-1,33.346832,126.536454,,,,,,,백록담은 순상화산의 원지형이 잘 보존된 국내 가장 높은 산정화구호다. 세계생물권보존지역 · 세계자연유산 · 세계지질공원으로 선정 되었다. 남북길이 약 400m· 동서길이 600m· 둘레 1720m· 표고 1841.7m· 깊이 108m의 타원형 분화구다. 한라산 정상에 위치하고 있는 만큼 남한에서 가장 높은 산정화구호다. 거의 침식 받지 않아 순상 화산의 원지형이 잘 보존되어 학술 가치가 크다. 또 한겨울 쌓인 눈이 여름철까지 남아 있어 '녹담만설'이라는 영주 12경 중의 하나로 자연 경관적 가치가 매우 뛰어나다. 계절에 따라 입산을 통제하며· 일몰 전 하산이 완료되어야 하므로 방문 시 사전에 확인 하는 것이 좋다.,064-710-2114,제주특별자치도청,2022-12-01
327,백약이오름,오름,관광지,,제주특별자치도 서귀포시 표선면 성읍리 산1,33.437281,126.790175,,,,,,,백약이오름은 동부산업도로를 40분 정도 달려 성읍2리 성읍목장 입구에 이르면 도착한다. 목장 안으로 들어 서면 좌측에 개오름이 있고· 사거리 좌측으로 곧게 뻗은 시멘트 포장길을 따라 들어가면 길이 끊기면서 목부들의 쉼터인 독립 가옥에 이르게 된다. 그 집 너머의 오름이 백약이오름이다. 방목 소들의 음수대 옆으로 30분 정도 오르면 산정부에 도달할 수 있다.,064-710-2114,제주특별자치도청,2022-12-01
328,백제사,문화유적,관광지,제주특별자치도 제주시 애월읍 광령남6길 54,제주특별자치도 제주시 애월읍 광령리 4121,33.447979,126.426656,,,,,,,자연친화적인 한국의 사찰문화를 체험할 수 있는 도량이다.,064-710-2114,제주특별자치도청,2022-12-01
329,백조일손지묘(백손일손지지),문화유적,관광지,제주특별자치도 서귀포시 대정읍 송악관광로143번길 170-48,제주특별자치도 서귀포시 대정읍 상모리 586-1,33.222732,126.42424,4785,관리사무소+주차장+안내판,호텔+리조트+펜션+게스트하우스,,1040,27,1960년 유족들이 묘비를 세워 '백조일손지묘'라 칭하고 뒷면에 희생자의 이름을 새겼다. 시신을 구별할 수 없었기에 '백 할아버지의 한 자손'이라는 뜻으로 이름을 붙였다. 그러나 1년 뒤· 5.16 쿠데타 세력의 횡포로 비가 박살 났다. 오늘날 위령비는 1993년에 다시 제작한 것이며· 부서진 비 조각은 1999년에 발굴되어 현 위령비 옆에 전시됐다.,064-760-2505,제주특별자치도청,2022-12-01
330,범섬,자연,관광지,,제주특별자치도 서귀포시 법환동,33.2444206,126.510896,,,,,,,서귀포항에서 남서쪽으로 5㎞ 해상에 위치한 범섬은 멀리서 바라보면 큰 호랑이가 웅크리고 앉은 모습과 같아 이름 붙여졌다. 호도(虎島)라고 불리기도 한다. 범섬은 2개의 섬으로 이뤄진 무인도다. 이 섬에는 해식 쌍굴이 뚫려있는데 제주도를 만들었다는 설문대할망이 한라산을 베개 삼아 누울 때 뻗은 두발이 뚫었다는 재미있는 전설이 있다.,064-710-2114,제주특별자치도청,2022-12-01
331,법정사,문화유적,관광지,제주특별자치도 서귀포시 1100로 740-168,제주특별자치도 서귀포시 도순동 산 1,33.309887,126.474462,5304,동백길 안내센터+공중화장실+안내판,리조트,2003-11-12,1153,25,3·1운동보다 앞서 1918년 10월 ‘법정사항일운동’이 시작됐다. 서귀포 법정사 승려들은 민간인과 함께 항일운동을 계획해 투쟁을 일으켰다. 이틀 간의 항거 끝에 결국 일제에 의해 제압되었다. 법정사는 한라산 동백길 안내소에 못 미치는 곳에 위치한 ‘무오법정사항일운동발상지’ 안내판 옆 샛길로 들어가면 보인다. 일제에 의해 불타 현재는 건물 흔적만 남아있다.,064-710-6703,제주특별자치도청,2022-12-01
332,법화사지,문화유적,관광지,제주특별자치도 서귀포시 하원북로35번길 15-28,제주특별자치도 서귀포시 하원동 1071-1,33.265312,126.457665,8720,주차장+유도 및 안내시설,호텔+펜션+게스트하우스,,1896,20,1971년 8월 26일 제주도 기념물 제 13호로 지정되었다. 1269년(원종 10)부터 1279년(충렬왕 5)까지 중창하였다는 기록이 있다. 《탐라지》에 따르면 1653년 이전에 폐사되었다고 한다. 1983년 발굴 조사 때· 법당지로 보이는 건물터를 발굴하였는데 규모가 정면 5칸· 측면 4칸의 건물로 기단 면적이 약 330㎡인 대단히 큰 건물이었다. 이곳에서 발견된 도자기 조각과 기와 조각으로 미루어 보았을 때 10~12세기 경에 지어진 것으로 추정된다,0507-1472-5225,대한불교조계종,2022-12-01
333,법환포구,자연,관광지,,제주특별자치도 서귀포시 법환동,33.2374,126.5155,,,,,,,법환 포구는 ‘막숙개’ 라고도 불리는데 ‘막숙’은 고려 말 최영 장군이· 이곳에 막사를 쳐 적군을 물리쳤다는 설에서 유래한다. 법환동의 날씨는 따뜻한 편이며 제주특별자치도 올레 7코스에 속해 있어 주변의 경치를 감상하기에 좋다. 이곳에서 범섬· 섶섬· 문섬· 새섬을 모두 한 눈에 볼 수 있다.,064-710-2114,제주특별자치도청,2022-12-01
334,베릿네오름,오름,관광지,,제주특별자치도 서귀포시 중문동 2314-2,33.247412,126.422108,,,,,,,중문관광단지 천제연계곡 동쪽 언덕 일대로서 천제연을 끼고 있다. 은하수처럼 내가 흐른다하여 성천봉이라고도 부른다. 베릿내오름은 세 봉우리로 이뤄진 삼태성형(參台星形)이며· 각각 동오름· 섯오름· 만지섬오름이라 불린다. 내(川)쪽은 베리(벼루)를 이루는 바위 절벽이고· 오름기슭에는 만지세미라는 샘이 있다.,064-710-2114,제주특별자치도청,2022-12-01
335,별내린전망대,기타,관광지,,제주특별자치도 서귀포시 색달동 2938-1,33.281411,126.411112,,,,,,,한라산 백록담에서 발원하여 서귀포 바다로 흘러가는 중문천 하류에 성천포가 있다. 별내린 전망대 이름은 이 성천포의 순 우리말이다. 이 전망대에서는 천제연폭포의 칠선녀다리· 중문천· 요트계류장 두루두루 볼 수 있다. 그늘과 나무데크로 산책로가 잘 조성되어 산책을 즐기기 좋다. 주차장도 가까워 주차 후 바로 산책로로 진입할 수 있다.,064-710-2114,제주특별자치도청,2022-12-01
336,별도봉,자연,관광지,,제주특별자치도 제주시 화북1동 4472,33.519308,126.553079,,,,,,,퇴적암과 용암으로 구성되었으며· 북측 사면의 등성이가 바다 쪽으로 뻗은 벼랑이 있다. 벼랑 밑 해안단에는 '고래굴'과 '애기업은돌'이라 불리는 기암이 있다. 별도봉을 감고 있는· 해발 136m의 해안 절벽을 두르고 장수로라는 산책로가 조성돼 있다. 높은 봉우리와 제주항 입출항 선박 등 해안 절경 조망이 가능하다.,064-710-2114,제주특별자치도청,2022-12-01
337,별도연대,문화유적,관광지,제주특별자치도 제주시 진동로 81-2 일대,제주특별자치도 제주시 화북1동 1537,33.526131,126.568423,727,,호텔+펜션+게스트하우스,2021-11-19,158,,별도연대는 제주시 화북동의 동쪽· 연대동산에 위치해 화북대라고 부른다. 산 정상에서 신호만 보내는 봉수대와는 달리 연대는 주로 구릉이나 해변 지역에 설치하여 낮에는 연기로· 밤에는 횃불로 신호를 보냈다. 또 위로 올라가 해상에서 접근하는 적의 동태를 살피기도 했다. 별도연대는 동쪽의 조천연대· 서쪽의 수근연대와 신호를 주고 받았다.,064-728-2731,제주특별자치도청,2022-12-01
338,별도포구,자연,관광지,제주특별자치도 서귀포시 남원읍 남태해안로 508,제주특별자치도 서귀포시 남원읍 태흥리 364-4,33.287457,126.749478,25000,주차장,펜션,,,50,별도포구는 산지천부터 조천해안을 잇는 올레 18코스의 중간지점인 화북동에 자리한다. 조선시대에 조천포구와 함께 육지와 제주를 잇는 2대 포구 중 하나로 역사가 깊다. 별도포구가 위치한 화북동은 김씨와가· 화북진선· 해신사· 별도연대· 환해장성 등 문화유적이 많아 포구와 함께 둘러보면 좋다. 화북동 청풍마을을 지나면 올레꾼이 잠시 쉬어갈 수 있는 '별도올레쉼터'가 있다.,064-712-6988,제주특별자치도청,2022-12-01
339,별방진,문화유적,관광지,제주특별자치도 제주시 문주란로1길 96 일대,제주특별자치도 제주시 구좌읍 하도리 3354,33.526118,126.884387,3121,유도 및 안내시설,펜션+게스트하우스+민박,1973-04-03,678,0,별방성은 1974년 4월 13일에 제주도 기념물 제24호로 지정되었다. 현재 성의 둘레는 950m이며 남쪽이 높고 북쪽이 낮은 지형을 이용하여 쌓았으며· 성곽은 타원형을 이루고 있다. 제주도에 있는 성곽들 중 비교적 성벽이 많이 남아 있어 당시 이 지역의 성 쌓는 방법과 규모를 알아볼 수 있는 중요한 자료로 여겨진다.,064-710-3314,제주특별자치도청,2022-12-01
340,병악,오름,관광지,,제주특별자치도 서귀포시 성산읍 온평리,33.401703,126.903088,10700,주차장+화장실(1동),펜션+호텔,,,20,병악은 말굽형 화구로 이루어진 쌍둥이오름이다. 두봉우리 중 오른쪽의 표고가 낮은 오름을 '족은오름'이라 부른다. 이웃한 오름 중 이와 같은 의미를 갖는 오름은 국립공원 내 총 13개가 있다. 화구 앞쪽의 기슭자락에 암석류의 작은 언덕들이 산재한다. 남사면쪽 일부에 삼나무 조림지가 있고· 그 외 지역은 자연림의 울창한 숲을 이루고 있다.,064-712-6988,제주특별자치도청,2022-12-01
341,병약현무암지대,자연,관광지,,,33.407981,126.257116,16780,주차장+화장실(2동),펜션,,,100,병악 현무암지대는 3만5000년 전 병악오름에서 분출한 용암이 9km를 흐르다 바닷가에서 멈춘 곳이다. 주상절리에 둘러싸인 작은 모래해변은 사람의 발길이 닿지 않은 '비밀의 해변'으로 영화에 나올 것만 같다.,064-712-6988,제주특별자치도청,2022-12-01
342,보롬왓,기타,관광지,제주특별자치도 서귀포시 표선면 번영로 2350-104,제주특별자치도 서귀포시 성읍리 3229-4,33.414987,126.760757,,,,,,,서귀포 표선면에 있는 봄과 가을에는 메밀꽃· 여름에는 수국과 라벤더를 볼 수 있는 농장이다. 꽃 뿐만 아니라 염소· 양· 소· 닭 등의 농장 동물들도 볼 수 있고· 카페도 함께 운영하고 있어서 힐링과 휴식의 명소이다. 주변 관광지로는 비자림· 거문오름 등이 있다.,064-710-2114,제주특별자치도청,2022-12-01
343,보롬이(하논·하구구),자연,관광지,,제주특별자치도 제주시 한림읍 옹포리,33.400895,126.255456,8500,주차장,펜션,,,80,하논마르 응회환 분화구에서 2차적으로 형성된 화구구(火口丘)로써 4개의 원추형 소화산체로 구성되어 있다. 이것은 당초 1개의 화구구가 침식되어 4개의 부분으로 해체된 결과로 해석된다. 오름 북사면에 삼나무와 해송이 일부 조림되어 있을 뿐 그 외의 부분은 감귤원이 오름 정상부까지 조성되어 있다.,064-712-6988,제주특별자치도청,2022-12-01
344,보리악,오름,관광지,,제주특별자치도 서귀포시 서홍동 791,33.239774,126.545341,1300,주차장+화장실(1동),게스트하우스,2011-06-10,20,80,보리악은 울창한 숲 사이에 솟아있는 원추형화산체이다.,064-760-3192,제주특별자치도 서귀포시,2022-12-01
345,보목자리리돔축제,축제/행사,관광지,,,33.515626,126.512222,5400,,가족호텔,,,,보목 마을은 자리돔이 유명하며· 싱싱한 자리리돔을 그 자리에서 맛볼 수 있는 기회와 낚시 체험 등 다양한 경험을 할 수 있는 축제이다.,064-712-6988,제주특별자치도청,2022-12-01
346,보목포구,자연,관광지,제주특별자치도 제주시 용두암길 15,제주특별자치도 제주시 용담이동 483,33.515079,126.511751,2200,주차장+화장실(1동)+음수대,관광호텔+게스트하우스,,100,60,서귀포시 보목동에 있는 포구로 제주올레 6코스에 속해있으며· 앞 바다에는 문섬과 섶섬이 떠있어 해가 질 때는 바다 위로 떨어지는 아름다운 일몰을 볼 수 있어 서귀포의 아름다운 바다 풍경을 즐기는 것도 좋다.,064-712-6988,제주특별자치도청,2022-12-01
347,본태박물관,예술,관광지,제주특별자치도 서귀포시 안덕면 산록남로762번길 69,제주특별자치도 서귀포시 안덕면 상천리 380 본태박물관,33.305765,126.388851,242405,안내데스크+화장실,관광호텔+가족호텔,,52697,10,과거와 현재를 통해 새로운 미래 가치를 발견하는 것을 목적으로 둔다. 전시뿐 아니라 교육· 세미나· 강연 등이 있으며· 한국의 수준 높은 전통문화를 국내외 관광객에게 선사한다. 박물관 건축양식이 자연과 조화를 이루며· 내부에서 공예품이나 제주도의 수려한 풍경을 감상할 수 있다., 064-792-8108,제주특별자치도청,2022-12-01
348,볼레낭길(보목포로),자연,관광지,,제주특별자치도 서귀포시 안덕면 사계리,33.233565,126.313901,30000,주차장+화장실(2동),펜션+가족펜션,,,75,천연기념물 제526호이며· 올레 10코스이다.,064-794-2940,제주특별자치도 서귀포시,2022-12-01
349,봉개평화트레킹축제,축제/행사,관광지,,,33.514852,126.514225,223,주차장+화장실(1동),호텔,,50,60,누구나 접근성이 용이한 장점을 살려서 체력적· 시간적 부담을 감안한 코스로 개발되었으며· 자연을 구경하며 아픈 역사를 교육할 수 있다. 중산간 마을의 옛 농경문화를 테마로 한 체험형 축제이다.,064-712-6988,제주특별자치도청,2022-12-01
350,봉글레산,오름,관광지,,제주특별자치도 제주시 우도면 연평리,33.514761,126.968001,60300,화장실 (1동),민박+캠핑장,,,,봉글레산은 상추자도 북쪽에 위치한 낮은 산이다. 추자 10경 중에 한 곳인 봉글레산에 올라오면 추자도와 추자 앞바다 풍경을 한눈에 내려다볼 수 있다.,064-712-6988,제주특별자치도청,2022-12-01
351,부대악오름,오름,관광지,,,33.519731,126.951078,6180,주차장+화장실(3동),민박+펜션,2001-01-01,,300,일제시대 때 일본군 부대가 주둔했다 하여 부대악이라는 이름이 붙여졌으며· 소가 누워있는 형상을 하고 있는 제주의 가장 큰 부속섬이다.,064-712-6988,제주특별자치도청,2022-12-01
352,부소오름,오름,관광지,,제주특별자치도 제주시 우도면 연평리,33.503807,126.955695,3000,,민박+펜션,,,,부소오름의 세 코스 중 맘에 드는 것을 골라 자연을 느끼며 걸을 수 있고· 전망을 바라보며 힐링을 할 수 있다.,064-712-6988,제주특별자치도청,2022-12-01
353,북오름,오름,관광지,제주특별자치도 제주시 우도면 우도봉길 105,제주특별자치도 제주시 우도면 연평리 337,33.503807,126.955695,100,,민박+펜션,,,,북오름은 안덕 곶자왈 지대에 위치한다. 남쪽 봉우리는 '거린 오름'으로 해송이 듬성듬성 있고· 북쪽 봉우리는 '북오름'으로 역시 해송림을 이룬다. 두 오름 사이에 골짜기가 이어져 있다.,064-712-6988,제주특별자치도청,2022-12-01
354,북촌국민학교,문화유적,관광지,제주특별자치도 제주시 번영로 940,제주특별자치도 제주시 회천동 4-1,33.474782,126.636592,55701,,관광호텔,,,, 북촌리 대학살은 제주특별자치도 4·3의 가장 크고 비극적인 사건으로 당시 북촌리가 가장 큰 피해를 입었다. 북촌국민학교는 학살의 상징으로 남아있다.,064-710-6072,제주특별자치도청,2022-12-01
355,북촌돌하르방미술관,기타,관광지,,,33.5387743,126.6887213,,,,,,,다양한 형태의 돌하르방과 250여 가지의 다양한 조형물이 공원 곳곳에서 전시돼 있다. '곶자왈 산책길'에서는 각종 양치식물 및 청미래덩굴· 자귀나무· 구찌뽕나무 등 다양한 수목을 관찰할 수 있다.,064-710-2114,제주특별자치도청,2022-12-01
356,북촌리 4.3길,문화유적,관광지,제주특별자치도 제주시 조천읍 선흘남4길 229,제주특별자치도 제주시 조천읍 선흘리 산60,33.492292,126.703394,505969,,관광호텔,,,,북촌리는 조천면의 동쪽 끝에 자리 잡은 해변 마을이다. 오랜 설촌 역사와 더불어 수려한 자연과 문화를 지닌 북촌마을은 4.3 당시 제주도민이 겪은 통한의 역사에 공감할 수 있는 역사 교육현장으로 조성되었다. 인권과 평화의 소중함· 아름다운 제주도와 4.3역사를 올바르게 인식할 수 있는 곳이 되었다.,064-740-6000,제주특별자치도청,2022-12-01
357,북촌마을해안길,자연,관광지,,제주특별자치도 서귀포시 성산읍 시흥리 산1-5,33.474593,126.885898,142.515,,관광호텔,,,,제주특별자치도 동부를 한눈에 볼 수 있다.,064-740-6000,제주특별자치도청,2022-12-01
358,북촌포구,자연,관광지,,제주특별자치도 서귀포시 표선면 토산리 산 11,33.327689,126.777345,83.414,,펜션,,,,다려도를 한눈에 볼 수 있고 마을 풍어제를 지내는 신당을 볼 수 있다. 해산물이 풍부해 낚시꾼에게 인기가 많다.,064-760-4418,제주특별자치도청,2022-12-01
359,북촌환해장성,문화유적,관광지,,제주특별자치도 제주시 구좌읍 송당리 880-1,33.478394,126.785492,46443,,관광호텔,,,,북촌 환해 장성은 제주특별자치도 기념물 제49-5호로 지정되었으며· 언덕 오르면 멋진 풍경을 볼 수 있다. 고려시대 삼별초가 들어오는 것을 막기 위해서 성을 쌓고 군사를 거느렸다.,064-740-6000,제주특별자치도청,2022-12-01
360,불카분낭(불타버린 나무),문화유적,관광지,,제주특별자치도 제주시 조천읍 교래리 산137-2번지,33.385326,126.577631,229772,,펜션,,,,4.3사건으로 인해 1948년 11월 마을이 초토화되면서 선흘리의 가옥은 단 몇 채만 놔두고 모두 전소됐다. 가지가 전부 타들어갔으나 다행히 밑동이 살아남았다. 그후 속이 빈 채 죽어가던 나무에 어디선가 홀연히 날아온 씨앗 하나가 싹을 틔웠다. 몇십 년을 두 나무는 마치 한 몸인 양 어우러져 있다.,064-740-6000,제주특별자치도청,2022-12-01
361,불탑사(5층석탑),문화유적,관광지,,제주특별자치도 서귀포시 남원읍 신흥리 산 18,33.529262,126.598025,110552,,펜션,,,,불탑사는 보물 제1187호로 지정된 제주도 내 유일 고려시대 석탑이다.,064-760-4151,제주특별자치도청,2022-12-01
362,붉은오름 자연휴양림,자연,관광지,,제주특별자치도 서귀포시 표선면 가시리 산 145,33.382647,126.693311,600325,,관광호텔,,,,붉은 오름 자연휴양림은 계절마다 다른 아름다움을 보인다. 1km가 조금 넘는 숲길이 있으며 산책로 바닥 전체가 방부목이다. 점자 안내판도 있어 유니버셜 디자인으로 숲길을 조성됐다. 목재문화체험장· 아로마테라피실· 편백삼나무체험실이 있다.,064-740-6000,제주특별자치도청,2022-12-01
363,붉은오름(성산읍),오름,관광지,,제주특별자치도 서귀포시 안덕면 상천리 산 24,33.325241,126.401754,477656,,관광호텔,,,,중턱에 원형이 들어앉은 특이한 복합형 화구를 가진다. 섭지코지 옆에 위치하며 오름 전체가 붉은 송이 또는 화산석으로 형성되어 붉게 보여 이름 붙여졌다.,064-740-6000,제주특별자치도청,2022-12-01
364,붉은오름(표선면),오름,관광지,,제주특별자치도 서귀포시 표선면 성읍리 산 18-1,33.404459,126.797532,1338920,,펜션,,,,주변 관광지로는 사려니숲길· 가시리 마을· 조랑말 체험공원· 유채꽃프라자· 정석항공관 등이 있다.,064-740-6000,제주특별자치도청,2022-12-01
365,브레이브독스,기타,관광지,,,33.4218294,126.2766113,,,,,,,브레이브 독스는 반려견을 위한 모든 것을 갖췄다. 반려견과 잠시 쉬어갈 수 있는 카페부터 유치원과 호텔· 애견 미용까지 한 곳에서 모두 해결할 수 있다. 그야말로 강아지들을 위한 원스톱 서비스를 제공한다.,064-710-2114,제주특별자치도청,2022-12-01
366,브릭캠퍼스,기타,관광지,,,33.4584613,126.4854146,,,,,,,세계 최초 브릭 아트 테마파크는 대형 디오라마에서부터 국내외 유명한 건축물· 일상 사물· 영화 속 캐릭터· 명화 모자이크 등 브릭으로 만들어낸 놀랍고 위대한 작품 세계를 감상할 수 있다.,064-710-2114,제주특별자치도청,2022-12-01
367,블루마운틴4255,기타,관광지,제주특별자치도 서귀포시 성산읍 중산간동로 4255,제주특별자치도 서귀포시 삼달리 1510-1,33.4119114,126.8416603,,,,,,,4람을 2어주는 5색 5감을 모토로 쉼과 예술· 문화적 체험을 즐길 수 있다.,064-710-2114,제주특별자치도청,2022-12-01
368,블칸디오름,오름,관광지,제주특별자치도 서귀포시 하례학림로 55-29,제주특별자치도 서귀포시 상효동 2364,33.292306,126.60212,256127,,펜션,,,,비블리아성서식물원은 식물을 통한 복음전파와 기독교 문화 산업에 기여하고자 한립음에 조성됐다.,064-740-6000,제주특별자치도청,2022-12-01
369,비블리아성서식물원,기타,관광지,,,33.35597,126.2751733,,,,,,,비양도는 천 년의 역사를 가지며· 천연기념물 제439호로 선정됐다. 제주도기념물 제48호로 올레15코스에 포함된다.,064-710-2114,제주특별자치도청,2022-12-01
370,비양도,자연,관광지,,제주특별자치도 서귀포시 남원읍 신흥리 산 18,33.348114,126.735256,110552,,펜션,,,,제주도 일출은 비양도에서 가장 먼저 시작된다. 비양도 연평리 야영지에서 망루 쪽을 보거나 망루에서 등대를 보거나 어디서든 해돋이를 볼 수 있다.,064-740-6000,제주특별자치도청,2022-12-01
